성분,기능성 내용
바이오게르마늄 효모,면역기능증진에 도움을 줄 수 있음
아마인,콜레스테롤 감소에 도움을 줄 수 있음(기타기능)
솔잎증류농축액,건강한 혈당의 유지에 도움을 줄 수 있음(기타기능)
소나무껍질추출물등복합물,햇볕 또는 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음(기타기능)
토치대두발효추출물,콩발효추출물은 발효시킨 콩을 추출한 것으로 당의 흡수를 억제하여 식후혈당을 건강하게 유지하는데 도움을 줄 수 있는 식품입니다.
표고버섯균사체추출물,간 건강에 도움을 줄 수 있음(기타기능)
Enterococcus faecalis 가열처리건조분말,꽃가루에 의해 나타나는 코막힘의 개선에 도움을 줄 수 있음(기타기능)
포도종자추출물,인체의 항산화능 증진에 도움을 줄 수 있음(기타기능)
Green Mate Extract EFLA® 920,체지방 감소에 도움을 줄 수 있습니다(생리활성기능 2등급)
헛개나무과병추출분말,"알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음, 운동능력 향상에 도움을 줄 수 있음, 스트레스로 인한 피로개선에 도움을 줄 수 있음 , ,"
지아잔틴 추출물,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈건강에 도움을 줄 수 있음
루테인/지아잔틴 복합추출물,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈건강에 도움을 줄 수 있음
"홍삼, 사상자, 산수유 복합추출물",햇볕 또는 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있습니다 (기타기능)
APIC 대두배아열수추출물 등 복합물,체지방의 감소에 도움을 줄 수 있음
표고버섯균사체 AHCC,면역기능 증진에 도움을 줄 수 있음(생리활성기능 2등급)
쏘팔메토 열매 추출물 등 복합물,전립선 건강의 유지에 도움을 줄 수 있습니다
L-글루타민,과도한 운동 후의 -글루타민 보충은 신체 저항능력 향상에 도움이 될 수 있음(기타기능)
칸탈로프멜론추출물,"산화스트레스로부터 인체를 보호하는데 도움을 줄 수 있습니다, 혈관벽 두께(내중막 두께 : ) 증가 억제를 통한 혈행개선에 도움을 줄 수 있음, 자외선에 의한 피부홍반개선으로 피부건강에 도움을 줄 수 있음"
BT-11원지추출분말,성인의 기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
커피만노올리고당분말,"장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음(기타기능) ,"
구아바잎추출물 등 복합물,"과민반응에 의한 코 상태(코 가려움, 재채기, 콧물) 개선에 도움을 줄 수 있음(기타기능 )"
보이차 추출물,혈중 콜레스테롤 개선에 도움을 줄 수 있습니다.(기타기능 )
다래추출물,면역 과민반응 개선에 도움을 줄 수 있음
홍국쌀,콜레스테롤 개선
L-글루타민산 유래 GABA 함유 분말,혈압이 높은 사람에게 도움을 줄 수 있습니다(기타기능)
중쇄지방산,이 제품은 중쇄지방산을 함유하고 있어 다른 식용유와 비교하였을 때 체지방 증가가 적을 수 있음(기타기능)
CJ식물성유지 디글리세라이드,이 제품은 를 함유하고 있어 다른 식용유와 비교하였을 때 식후 혈중 중성지방과 체지방 증가가 적을 수 있음(기타기능)
카제인가수분해물,혈압이 높은 사람에게 도움을 줄 수 있습니다(기타기능)
호프추출물,호프추출물은 관절 건강에 도움을 줄 수 있습니다(기타기능)
프로바이오틱스,"유익한 유산균 증식, 유해균 억제, 배변활동 원활, 장 면역을 조절하여 장 건강에 도움을 줄 수 있음"
지방산복합물,관절건강에 도움을 줄 수 있음(기타기능) .
정제오징어유,혈행개선(기타기능)
Nopal 추출물,식후 혈당조절에 도움을 줄 수 있습니다 (기타기능)
표고버섯균사체추출물,간 건강에 도움을 줄 수 있습니다(기타기능)
락추로스 파우더,"유익균 증식, 유해균 억제에 도움을 줄 수 있습니다.(생리활성기능 2등급)"
피브로인추출물 BF-7,기억력 개선에 도움을 줄 수 있음(기타 등급)
콜레우스 포스콜리 추출물 Forslean,체지방 감소에 도움을 줄 수 있습니다(기타기능 )
리프리놀-초록입홍합추출오일,관절 건강에 도움을 줄 수 있음
HK 나토배양물,"혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하여, 혈액흐름을 원활히 하는데 도움을 줄 수 있음.(기타 )"
액상 다래추출물,면역 과민반응 개선에 도움을 줄 수 있음
쌀겨추출물,피부보습에 도움을 줄 수 있음(기타)
동결건조누에분말,혈당조절에 도움을 줄 수 있음
아마인,콜레스테롤 감소에 도움을 줄 수 있음(기타기능 Ⅱ)
보리 베타글루칸 추출물,혈중 콜레스테롤 개선에 도움을 줄 수 있음
정제오징어유,"혈행개선에 도움을 줄 수 있음(기타) 혈중 중성지질 개선에 도움을 줄 수 있음(기타Ⅱ) , (혹은 , )"
자일로올리고당,"장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음(기타기능)"
자일로올리고당,"장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음(기타) ,"
파크랜 크랜베리 분말,요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(기타기능)
해태올리고펩티드,혈압조절에 도움을 줄 수 있음(기타기능)
Nopal추출물,식후 혈당조절에 도움을 줄 수 있습니다(기타기능)
비즈왁스알코올,"항산화에 도움을 줄 수 있음(생리활성기능 2등급), 위점막을 보호하여 위건강에 도움을 줄 수 있음(생리활성기능 2등급), 관절 건강에 도움을 줄 수 있음(생리활성기능 2등급) , ,"
백수오 등 복합추출물,갱년기 여성 건강에 도움을 줄 수 있음 `
발효생성아미노산 복합물,지구성 운동 시 피로개선에 도움을 줄 수 있음(기타기능Ⅱ)
석류추출물,갱년기 여성의 건강에 도움을 줄 수 있음(기타)
레몬 밤 추출물 혼합분말,체지방 감소에 도움을 줄 수 있음 (기타기능)
AP 콜라겐 효소분해 펩타이드,"피부 보습에 도움을 줄 수 있음, 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음 () ,"
피카오프레토 분말 등 복합물,과민반응에 의한 코 상태 개선에 도움을 줄 수 있음
연어 펩타이드,혈압이 높은 사람에게 도움을 줄 수 있음(기타기능)
보리 베타글루칸 추출물,혈중 콜레스테롤 개선에 도움을 줄 수 있음 (생리활성기능 2등급)
지각상엽 추출 혼합물,혈당 조절에 도움을 줄 수 있음 (기타기능)
HK표고버섯균사체,간건강에 도움을 줄 수 있음(기타 )
창녕양파추출액,혈중 콜레스테롤 개선에 도움을 줄 수 있음 (기타기능 )
크랜베리 추출물,요로에 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음
석류농축액,갱년기 여성의 건강에 도움을 줄 수 있음(생리활성기능 2등급)
전칠삼추출물 등 복합물,관절건강에 도움을 줄 수 있음 (기타기능)
스피루리나 원말,면역조절에 도움을 줄 수 있으나 인체시험을 통한 확인이 필요함 (기타기능Ⅲ)
L-카르니틴 타르트레이트,체지방 감소에 도움을 줄 수 있음 (기타기능 Ⅱ)
서목태,"혈당 조절에 도움을 줄 수 있음(생리활성기능 2등급), 혈압이 높은 사람에게 도움을 줄 수 있음(생리활성기능 2등급), 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)"
지초추출물,피부보습에 도움을 줄 수 있음(기타기능Ⅱ)
복분자추출분말,간 건강에 도움을 줄 수 있음(기타기능Ⅱ)
카제인 가수분해물,혈압이 높은 사람에게 도움을 줄 수 있습니다.(기타기능 )
Green Mate Extract EFLA 920,체지방 감소에 도움을 줄 수 있습니다(기타기능)
아티초크 추출물,담즙분비를 촉진하여 지방 소화에 도움을 줄 수 있음(생리활성기능 2등급)
호박씨추출물 등 복합물,방광의 배뇨기능 개선에 도움을 줄 수 있음(생리활성기능 2등급)
동충하초 발효 추출물,지구력 증진에 도움을 줄 수 있음
글로빈 가수분해물,식후 혈중 중성지방 개선에 도움을 줄 수 있음(기타기능Ⅱ)
유산균발효다시마추출물,"알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음, 기억력 개선에 도움을 줄 수 있음 ,"
유산균 발효 다시마추출물,알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음(기타기능Ⅱ) -
인삼가수분해 농축액,혈당 조절에 도움을 줄 수 있음
가시오갈피 등 복합추출물,관절 건강에 도움을 줄 수 있음(기타기능Ⅱ)
타가토스,식후 혈당조절에 도움을 줄 수 있음(기타기능Ⅱ)
크랜베리 추출물,요로에 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(기타기능 )
당귀등추출복합물,노인의 기억력 개선에 도움을 줄 수 있음
발효생성아미노산 복합물,지구성 운동 시 피로개선에 도움을 줄 수 있음(생리활성기능 2등급)
콜레우스 포스콜리 추출물,체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
밀전분유래 난소화성말토덱스트린,장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음(기타기능)
마카 젤라틴화 분말,정자 운동성 개선에 도움을 줄 수 있음(생리활성기능 2등급)
민들레 등 추출복합물,피부보습에 도움을 줄 수 있음(생리활성기능 2등급)
지방산복합물 FAC,관절 건강에 도움을 줄 수 있음 (생리활성기능2등급)
L-카르니틴 타르트레이트,"체지방 감소에 도움을 줄 수 있음, 운동으로 인한 피로 개선에 도움을 줄 수 있음 ,"
마리골드 추출물,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
Collactive 콜라겐펩타이드,피부 보습에 도움을 줄 수 있음
청국장균배양정제물,면역기능 증진에 도움을 줄 수 있음(생리활성기능 2등급)
로즈힙분말,관절 및 연골 건강에 도움을 줄 수 있음(생리활성기능 2등급)
씨폴리놀 감태주정추출물,"혈중 콜레스테롤 개선에 도움을 줄 수 있음(생리활성기능 2등급), 식후혈당 상승 억제에 도움을 줄 수 있음"
솔잎 증류 농축액,건강한 혈당의 유지에 도움을 줄 수 있음(생리활성기능2등급)
콩발효추출물,식후 혈당상승 억제에 도움을 줄 수 있음(생리활성기능 2등급)
콩발효추출물,식후 혈당상승 억제에 도움을 줄 수 있음(생리활성기능 2등급)
아쉬아간다 추출물,스트레스로 인한 긴장 완화에 도움을 줄 수 있음 (생리활성기능 2등급)
핑거루트추출분말,"자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음(생리활성기능 2등급), 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)"
콜레우스 포스콜리 추출물,체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
나토균배양분말,"혈압이 높은 사람에게 도움을 줄 수 있음, 혈소판 응집억제를 통한 혈행개선에 도움을 줄 수 있음 ,"
미역 등 복합추출물,체지방 감소에 도움을 줄 수 있음
과채유래유산균,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음 (생리활성기능 2등급)
가시오가피숙지황복합추출물,뼈건강에 도움을 줄 수 있음(생리활성기능 2등급)
동충하초 주정추출물,면역기능 증진에 도움을 줄 수 있음(생리활성기능 2등급)
Lactobacillus sakei Probio65,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음 (생리활성기능 2등급)
로즈힙분말,관절 및 연골 건강에 도움을 줄 수 있음(생리활성기능 2등급)
로즈힙분말,관절 및 연골 건강에 도움을 줄 수 있음
락토페린,체지방 감소에 도움을 줄 수 있음
루테인지아잔틴복합추출물20%,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈건강에 도움을 줄 수 있음
가시오갈피 등 복합추출물,관절 건강에 도움을 줄 수 있음(생리활성기능 2등급)
도라지추출물,간 건강에 도움을 줄 수 있음(생리활성기능 2등급)
