성분,기능성 내용
지방산복합물 FAC,관절 건강에 도움을 줄 수 있음 (생리활성기능2등급)
스페인감초추출물,위 점막 내 헬리코박터균( ) 증식을 억제하고 위 점막을 보호하여 위 건강에 도움을 줄 수 있음(생리활성기능 2등급)
나토균배양분말,혈소판 응집억제에 의한 혈행개선에 도움을 줄 수 있음(생리활성기능 2등급)
가르시니아 캄보지아 껍질추출물,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다(기타Ⅰ)”
헤마토코쿠스 CO2 초임계 추출물,헤마토코쿠스 2 초임계추출물의 섭취는 눈의 피로도 개선에 도움을 줄 수 있습니다.”(기타Ⅱ등급)
포스파티딜세린,“노인의 인지능력 개선에 도움을 줄 수 있습니다.” (기타기능)
아티초크추출물,“담즙분비를 촉진하여 지방 소화에 도움을 줄 수 있음(기타기능 )”
밀크씨슬추출물,“간 건강에 도움을 줄 수 있음” (기타기능)
황기추출물 등 복합물,어린이 키성장에 도움을 줄 수 있음(생리활성기능 2등급)
밀크씨슬추출물,“간 건강에 도움을 줄 수 있음” (기타기능)
공액리놀레산,"""공액리놀레산( )은 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.”"
탈지달맞이꽃종자주정추출물,"""당의 흡수를 억제하여 식후혈당상승억제에 도움을 줄 수 있습니다.” (기타기능Ⅱ)“"
CLA FFA,“공액리놀레산( )는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.” (과체중인 성인을 대상으로 한 인체시험에서 를 섭취한 경우 체지방( )감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)
아마인,“콜레스테롤 감소에 도움을 줄 수 있습니다“(기타기능Ⅱ)
미쯔비시 코엔자임 Q10,"""코엔자임 10은 항산화에 도움을 줄 수 있습니다."" (기타기능)"
빌베리주정추출물,"""눈의 피로 개선에 도움을 줄 수 있습니다."" (기타기능 )"
CJ식물성유지 디글리세라이드,이 제품은 디글리세라이드()를 함유하고 있어 다른 식용유와 비교하였을 때 식후 혈중 중성지방과 체지방 증가가 적을 수 있음(기타기능)
풋사과추출물 애플페논,체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
L. Helveticus 발효물,"노화로 인해 저하된 인지력 개선에 도움을 줄 수 있으나, 관련 인체적용시험이 미흡함 (생리활성기능 3등급)"
CLA FFA,"“과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다."" (기타기능 )"
로즈힙분말,"""로즈힙분말은 관절 및 연골건강에 도움을 줄 수 있습니다.”"
가르시니아 캄보지아 껍질추출물 GARSLIM,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다(기타Ⅰ)”
Enterococcus faecalis FK-23 효소 및 가열처리분말,“꽃가루에 의해 나타나는 코막힘의 개선에 도움을 줄 수 있음” (기타기능 )
폴리감마글루탐산,체내 칼슘 흡수 촉진에 도움을 줄 수 있음 (생리활성기능 2등급)
포도 종자 추출물,"“인체의 항산화능 증진에 도움을 줄 수 있습니다."" (기타기능 )"
감마리놀렌산 함유 유지,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
매스틱 검,위 불편감 개선에 도움을 줄 수 있음 (생리활성기능 2등급)
피니톨 분말,혈당조절에 도움을 줄 수 있으나 관련 인체적용시험이 미흡함 (생리활성기능 3등급)
Opti MSM,디메틸설폰()은 관절건강에 도움이 될 수 있습니다.(기타기능)
루테인,“노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줌”(기타기능Ⅰ)
테아닌,“스트레스로 인한 긴장을 완화시키는데 도움을 줄 수 있음” (기타기능 )
가르시니아 캄보지아 추출물,"“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다"" (기타기능 )"
EPA 및 DHA 함유 유지,기억력 개선에 도움을 줄 수 있음
EPA 및 DHA 함유 유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
EPA 및 DHA 함유 유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음(생리활성기능 2등급)
헤모힘 당귀등 혼합추출물,피로개선에 도움을 줄 수 있음
EPA 및 DHA 함유 유지,기억력 개선에 도움을 줄 수 있음
헛개나무과병추출분말,알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음(생리활성기능 2등급)
루테인 지아잔틴 복합 추출물,노화로 인해 감소도리 수 있는 환반색소밀도를 유지시켜 주어 눈건강에 도움을 줍니다.(생리활성기능 1등급)
EPA 및 DHA 함유 유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음(생리활성기능 2등급)
크레아틴,“크레아틴의 섭취는 근력 운동 시에 운동수행능력 향상에 도움을 줄 수 있습니다.”(기타기능 )
테아닌,“스트레스로 인한 긴장을 완화시키는데 도움을 줄 수 있음” (기타기능 )
아글리맥스,(1) 성상 : 밝은 황갈색의 분말 (2) 납(㎎/㎏) : 1.0 이하 (3) 총비소(㎎/㎏) : 1.0 이하 (4) 카드뮴(㎎/㎏) : 1.0 이하 (5) 총수은(㎎/㎏) : 1.0 이하 (6) 대장균군 : 음성
Green Mate Extract EFLA920,""" ? 920은 체지방 감소에 도움을 줄 수 있으나 아직은 과학적인 근거가 부족합니다."" 소수의 인체시험에서 “ ? 920”이 체지방 감소에 도움을 줄 수 있음이 입증되었으나 이를 설명할 수 있는 과학적 근거가 부족합니다. (기타기능)"
Green Mate Extract EFL 920,체지방 감소에 도움을 줄 수 있습니다 (기타기능)
루테인 지아잔틴 복합 추출물 20%,노화로 인해 감소될 수 있는 황반색소밀도를 유지시켜 주어 눈 건강에 도움을 줌(생리활성기능 1등급)
쏘팔메토 열매 추출물,“쏘팔메토 열매 추출물은 전립선 건강의 유지에 도움을 줄 수 있습니다” (기타기능)
썬테아닌,“스트레스로 인한 긴장을 완화시키는데 도움을 줄 수 있음” (기타기능 )
전칠삼 추출물 등 복합물,관절건강에 도움을 줄 수 있음(생리활성기능2등급)
돌외잎 추출물,스트레스로 인한 긴장완화에 도움을 줄 수 있음(생리활성기능 2등급)
크랜베리 추출물,요로에 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(생리활성기능 2등급)
오메가-3 지방산 함유 유지,기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
감마리놀렌산 함유 유지,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
EPA 및 DHA 함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
피브로인추출물 BF-7,기억력 개선에 도움을 줄 수 있습니다. (기타 등급)
카카오분말,혈관이완을 통한 혈행개선에 도움을 줄 수 있음(생리활성기능 2등급)
연어펩타이드,혈압이 높은 사람에게 도움을 줄 수 있음 (기타기능)
헛개나무 과병 추출 분말,1) 알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음(기타 ) 2) 스트레스로 인한 피로 개선에 도움을 줄 수 있음(생리활성기능 2등급) 3) 운동능력 향상에 도움을 줄 수 있음(생리활성기능 2등급)
피카오프레토 분말 등 복합물,“과민반응에 의한 코 상태 개선에 도움을 줄 수 있음(기타Ⅱ)”
회화나무열매추출물,갱년기 여성의 건강에 도움을 줄 수 있음(기타기능Ⅱ)
글로빈 가수분해물,식후 혈중 중성지질 개선에 도움을 줄 수 있음(기타기능Ⅱ)
해태올리고펩타이드,“혈압조절에 도움을 줄 수 있음(기타기능)”
가시오갈피 등 복합추출물,관절 건강에 도움을 줄 수 있음 (생리활성기능 2등급)
L-arabinose,설탕 소화흡수를 완만하게 하여 혈당조절에 도움을 줄 수 있음 (생리활성기능 2등급)
칸탈로프멜론추출물,1)산화스트레스로부터 인체를 보호하는데 도움을 줄 수 있습니다(기타) 2)혈관벽 두께 증가 억제를 통한 혈행개선에 도움을 줄 수 있습니다(기타) 3) 자외선에 의한 피부홍반개선으로 피부건강에 도움을 줄수 있음(기타)
민들레 등 추출복합물,피부보습에 도움을 줄 수 있음(생리활성기능 2등급)
키토올리고당,"체지방 감소에 도움을 줄 수 있으나, 관련 인체적용시험이 미흡함(생리활성기능 3등급)"
로즈힙분말,관절 및 연골 건강에 도움을 줄 수 있음(생리활성기능 2등급)
발효울금,"간 건강에 도움을 줄 수 있으나, 관련 인체적용시험이 미흡함(생리활성기능 3등급)"
나토균배양분말,혈행 개선에 도움을 줄 수 있음(생리활성기능 2등급)
가시오가피숙지황복합추출물,뼈 건강에 도움을 줄 수 있음(생리활성기능 2등급)
MR-10 민들레등복합추출물,갱년기 남성의 건강에 도움을 줄 수 있음(생리활성기능 2등급)
콩발효추출물,
콩발효추출물,식후 혈당상승 억제에 도움을 줄 수 있음(생리활성기능 2등급)
호박씨추출물 등 복합물,방광의 배뇨기능 개선에 도움을 줄 수 있음(생리활성기능 2등급)
참당귀 추출분말,1) 노화로 저하된 인지기능 개선에 도움을 줄 수 있음 2) 관절건강에 도움을 줄 수 있음(생리활성기능 2등급)
Collactive 콜라겐펩타이드,피부 보습에 도움을 줄 수 있음 (생리활성기능 2등급)
콜레우스 포스콜리 추출물,체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급)
인삼다당체추출물,면역기능 증진에 도움을 줄 수 있음(생리활성기능 2등급)
까마귀쪽나무 열매 주정추출물,관절건강에 도움을 줄 수 있음(생리활성기능 2등급)
로즈힙분말,관절 및 연골 건강에 도움을 줄 수 있음(생리활성기능 2등급)
황금등복합물,
도라지추출물,"노인의 인지능력 개선에 도움을 줄 수 있으나, 인체적용시험이 미흡(생리활성기능 3등급)"
HK 나토배양물,"혈액의 흐름을 방해할 수 있는 혈소판응집을 억제하여, 혈액흐름을 원활히 하는데 도움을 줄 수 있음(기타 )"
오미자추출물,갱년기 여성 건강에 도움을 줄 수 있음(생리활성기능 2등급)
유단백가수분해물,스트레스로 인한 긴장 완화에 도움을 줄 수 있음(생리활성기능 2등급)
비파엽추출물,기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
발효식초석류복합물,
HK표고버섯균사체,
전칠삼추출물 등 복합물,
복분자추출분말,
회화나무열매추출물,갱년기 여성의 건강에 도움을 줄 수 있음(기타기능 )
금사상황버섯,면역기능 개선에 도움을 줄 수 있음(기타기능)
시서스추출물,체지방 감소에 도움
인삼추출물,-
깻잎추출물,체지방 감소에 도움을 줄 수 있음
감마리놀렌산 함유 유지,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
오메가-3 지방산 함유 유지,기억력 개선에 도움을 줄 수 있음 (생리활성기능 2등급)
와일드망고 종자추출물,체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급)
허니부쉬추출발효분말,자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움
옥수수배아추출물,피부보습에 도움을 줄 수 있음(생리활성기능 2등급)
밀크씨슬 추출물,간 건강에 도움을 줄 수 있음(생리활성기능 2등급)
피니톨 분말,피니톨은 캐롭빈 포드에서 정제?추출한 원료로서 혈당조절에 도움을 줄 수 있으나 인체시험에서 확인이 필요합니다.
바이오게르마늄 효모,면역기능 증진에 도움
L. curvatus HY7601와 L. plantarum KY1032의 프로바이오틱스 복합물,체지방 감소에 도움
연어이리추출물,위 점막을 보호하여 위 건강에 도움을 줄 수 있음
루바브뿌리추출물,갱년기 여성건강에 도움을 줄 수 있음
허니부쉬추출발효분말,자외선에의한 피부손상으로 피부건강 유지에 도움을 줄 수 있음
히알루론산,자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음(생리활성기능 2등급)
감마리놀렌산함유유지,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
감마리놀렌산함유유지,면역과민반응에 의한 피부 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
히알루론산,피부 보습에 도움을 줄 수 있음(생리활성기능 2등급)
피엘에이지,면역조절에 도움을 줄 수 있음(생리활성기능 2등급)
핑거루트추출분말,1) 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음(생리활성기능 2등급) 2) 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
빌베리추출물,눈의 피로도 개선에 도움
빌베리추출물,눈의 피로도 개선에 도움
스페인감초추출물,위 점막 내 헬리코박터( ) 증식을 억제하고 위 점막을 보호하여 위 건강에 도움을 줄 수 있습니다.
EPA 및 DHA 함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음(생리활성기능 2등급)
감마리놀렌산함유유지,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
감마리놀렌산함유유지,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
EPA 및 DHA 함유 유지,기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
강황 추출물,관절건강에 도움을 줄 수 있음(생리활성기능 2등급)
오메가-3 지방산 함유 유지,기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
리스펙타,첨부 파일 참고
PMO참밀알부민,
크랜베리 추출물,요로에 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(기타기능 )
동충하초 유래 P. hepiali 균사체,지구력 증진에 도움을 줄 수 있음
호로파종자 등 추출복합물,남성의 갱년기 건강에 도움을 줄 수 있음
상황버섯등 추출복합물,혈관 건강 개선을 통해 혈행개선에 도움을 줄 수 있습니다.
피쉬 콜라겐펩타이드,자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음
쑥부쟁이추출분말,-
그린세라-F,위점막을 보호하여 위건강에 도움을 줄수 있음
로즈마리자몽추출복합물,자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음
포도과피 효소발효추출물,안구건조 개선에 도움을 줄 수 있음
Tonalin CLA FFA,"“과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다."" (기타기능 )"
헤마토코쿠스 CO2 초임계 추출물,“헤마토코쿠스 2 초임계추출물의 섭취는 눈의 피로도 개선에 도움을 줄 수 있습니다.”(기타Ⅱ등급)
루테인지아잔틴복합추출물,-
히알우론산나트륨,“피부 보습에 도움을 줄 수 있습니다.(기타Ⅱ)”
차즈기추출물,눈의 피로도 개선에 도움
밀크씨슬추출물,“간 건강에 도움을 줄 수 있으나 인체시험을 통한 확인이 필요함” (기타기능)
Novasoy,“뼈 건강에 도움을 줄 수 있습니다.” (기타기능 )
쏘이라이프,“뼈 건강에 도움을 줄 수 있습니다.” (기타기능 )
UREX 프로바이오틱스,유산균 증식을 통한 여성 질 건강에 도움을 줄 수 있음 (생리활성기능 2등급)
밀크씨슬추출물,“간 건강에 도움을 줄 수 있음” (기타기능)
소엽추출물,면역 과민반응 개선에 도움을 줄 수 있으나 인체에서의 확인이 필요함(기타기능)
피니톨,간 건강에 도움을 줄 수 있음
타가토스,식후 혈당조절에 도움을 줄 수 있음(기타기능)
프로바이오틱스,"1) 유익한 유산균 증식, 유해균 억제, 배변활동 원활 2) 장 면역을 조절하여 장 건강에 도움을 줄 수 있음(기타기능)"
밀크씨슬추출물,“간 건강에 도움을 줄 수 있으나 인체시험을 통한 확인이 필요함” (기타기능)
대두추출물등 복합물,갱년기 여성 건강에 도움
Tonalin CLA FFA,“공액리놀레산( )는 과체중인 성인의 체지방 감소에 도움을 줄 수 있습니다.” (과체중인 성인을 대상으로 한 인체시험에서 를 섭취한 경우 체지방( )감소에 도움을 줄 수 있음이 많은 자료에서 확인되었으나 한국인을 대상으로 한 자료가 없었음. 따라서 반드시 ‘---에 도움을 줄 수 있습니다’의 형식으로 표시하여야 함.)
청국장균배양정제물,면역기능 증진에 도움을 줄 수 있음(생리활성기능 2등급)
유단백추출물,뼈 건강에 도움을 줄 수 있음(생리활성기능 2등급)
인삼가수분해농축액,혈당 조절에 도움을 줄 수 있음(기타기능 )
녹차추출물,체지방 감소에 도움을 줄 수 있음(기타기능 )
호박씨추출물 등 복합물,방광의 배뇨기능 개선에 도움을 줄 수 있음(기타기능 )
돌외잎주정추출분말,체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급)
L-아르기닌,혈관이완을 통해 혈행 개선에 도움을 줄 수 있음(생리활성기능 2등급)
밀배유추출물,피부 보습에 도움을 줄 수 있음(생리활성기능 2등급)
석류추출물,갱년기 여성의 건강에 도움을 줄 수 있음(생리활성기능 2등급)
적포도발효농축액,콜레스테롤 개선에 도움을 줄 수 있음(생리활성기능 2등급)
EPA및DHA함유유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음(생리활성기능 2등급)
EPA 및 DHA 함유 유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음. (생리활성 기능 2등급)
BT-11원지추출분말,성인의 기억력 개선을 도움을 줄 수 있음(생리활성기능 2등급)
들쭉열매추출물,눈 건강에 도움을 줄 수 있으나 관련 인체적용시험이 미흡함(생리활성기능 3등급)
EPA 및 DHA 함유 유지,기억력 개선에 도움을 줄 수 있음
효모베타글루칸,면역기능 증진에 도움을 줄 수 있음(생리활성기능 2등급)
Lactobacillus sakei Probio65,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
Dimethylsulfone,관절 건강에 도움을 줄 수 있음 (생리활성기능2등급)
유산균발효다시마추출물,알콜성 손상으로부터 간 보호 및 기억력 개선에 도움기억기억력 개선에 도움을 줄 수 있음
홍경천추출물,스트레스로 인한 피로개선에 도움을 줄 수 있음(생리활성기능 2등급)
상엽추출물,식후혈당 상승 억제에 도움을 줄 수 있음(생리활성기능 2등급)
크레아틴,“근력 운동 시에 운동수행능력 향상에 도움을 줄 수 있습니다.”(기타기능 )
가르시니아 캄보지아껍질 추출물-PE 60,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다(기타Ⅰ)”
Geo-Fresh Organic 가르시니아 캄보지아 껍질추출물,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다(기타Ⅰ)”
리프리놀-초록입홍합추출오일,“관절건강에 도움이 될 수 있음(기타기능)”
Nopal추출물,“식후 혈당조절에 도움을 줄 수 있습니다” (기타기능)
쏘팔메토 열매 추출물,전립선 건강의 유지에 도움을 줄 수 있음(기타기능)
핑거루트추출물,1) 자외선에 의한 피부손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음. 2) 체지방감소에 도움을 줄 수 있음. 3) 피부보습에 도움을 줄 수 있음. (생리활성기능 2등급)
L-카르니틴 타르트레이트,운동으로 인한 피로개선에 도움을 줄 수 있음.
Lactobacillus gasseri BNR17,체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
발효식초석류복합물,체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
흑효모배양액분말,뼈 건강에 도움을 줄 수 있으나 관련 인체적용시험이 미흡함(기타기능 )
밀전분유래 난소화성말토덱스트린,장내 유익균의 증식과 유해균의 억제에 도움을 줄 수 있음(생리활성기능 2등급)
오메가-3 지방산 함유유지,기억력 개선에 도움을 줄 수 있음 (생리활성기능 2등급)
은행잎 추출물,성인의 기억력 개선에 도움을 줄 수 있음 (기타기능) 혈행 개선에 도움을 줄 수 있음 (기타기능)
가르시니아 캄보지아 껍질추출물 60HCA,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 )
루테인복합물 SF20,“루테인은 노화로 인해 감소될 수 있는 황반색소밀도를 유지시켜 주어 눈건강에 도움을 줍니다.(기타 등급)”
쏘팔메토 열매 추출물,“전립선 건강의 유지에 도움을 줄 수 있습니다” (기타기능 )
유단백가수분해물,스트레스로 인한 긴장 완화에 도움을 줄 수 있음 (기타기능 Ⅱ)
가르시니아 캄보지아 껍질추출물,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 )
감마리놀렌산 함유 유지,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
곰피추출물,간 건강에 도움을 줄 수 있음
녹차추출물/테아닌 복합물,성인의 기억력 개선에 도움을 줄 수 있으나 인체에서의 확인이 필요함(기타기능)
파크랜크랜베리분말,요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(생리활성기능 2등급)
파크랜크랜베리분말,요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(생리활성기능 2등급)
콩․보리 발효복합물,피부 보습에 도움을 줄 수 있음(생리활성기능 2등급)
깻잎추출물,체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
발효생성아미노산복합물,지구성 운동 시 피로개선에 도움을 줄 수 있음(생리활성기능 2등급)
,
HK표고버섯균사체,간 건강에 도움을 줄 수 있음(생리활성기능 2등급)
전칠삼추출물 등 복합물,관절건강에 도움을 줄 수 있음(기타기능)
폴리감마글루탐산,체내 칼슘흡수 촉진에 도움을 줌
홍경천 추출물,“스트레스로 인한 피로개선에 도움을 줄 수 있음”(생리활성기능 2등급)
녹차추출물,체지방 감소에 도움을 줄 수 있음(기타기능 )
폴리감마글루탐산,“체내 칼슘흡수 촉진에 도움을 줌” (기타기능 )
스피루리나원말,면역조절에 도움을 줄 수 있으나 인체시험을 통한 확인이 필요함 (기타기능Ⅲ)
밀크씨슬추출물,“간 건강에 도움을 줄 수 있음” (기타기능)
가르시니아 캄보지아 껍질추출물WS,“탄수화물에서 지방으로의 합성을 억제하여 체지방 감소에 도움을 줍니다”(기타기능 )
폴리감마글루탐산,체내 칼슘흡수 촉진에 도움을 줌(기타기능)
유산균발효다시마추출물,알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음(기타기능 )
프로바이오틱스 HY7714,자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음(생리활성기능 2등급)
마테열수추출물,"체지방 감소에 도움을 줄 수 있으나, 관련 인체적용시험이 미흡함(생리활성기능 3등급)"
마그나스표고균사체추출물분말,"“간 건강에 도움을 줄 수 있습니다"" (기타기능 )"
은행잎추출물,"성인의 기억력 개선에 도움을 줄 수 있음, 혈행 개선에 도움을 줄 수 있음 (생리활성기능 2등급)"
홍경천추출물,스트레스로 인한 피로개선에 도움을 줄 수 있음(생리활성기능 2등급)
키토올리고당,콜레스테롤감소
루테인지아잔틴복합추출물,눈 건강에 도움
감태추출물,수면의 질 개선에 도움을 줄 수 있음(생리활성기능 2등급)
히드록시프로필메틸셀룰로오스,식후 혈당상승 억제에 도움을 줄 수 있음(생리활성기능 2등급)
홍국쌀,콜레스테롤 개선
발효생성아미노산 복합물,지구성 운동 시 피로개선에 도움을 줄 수 있음(기타기능Ⅱ)
구아바잎추출물,식후 혈당조절에 도움을 줄 수 있음(기타기능 )
EPA 및 DHA 함유유지,건조한 눈을 개선아혀 눈 건강에 도움을 줄 수 있음(생리활성기능 2등급)
석류농축분말,피부 보습에 도움을 줄 수 있음.
오미자추출물,"근력 개선에 도움을 줄 수 있음, 관절 및 연골 건강에 도움을 줄 수 있음"
풋사과추출물 애플페논,체지방 감소에 도움을 줄 수 있음
쇠비름주정추출분말,장건강
저분자 콜라겐 펩타이드 NS,-
히알루론산나트륨,피부 보습에 도움을 줄 수 있음 (생리활성기능 2등급)
CMO 함유 FAC,관절 건강에 도움을 줄 수 있음 (생리활성기능2등급)
락토페린,체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급)
마카 젤라틴화 분말,1)운동수행능력 향상에 도움을 줄 수 있으나 관련 인체적용시험이 미흡함(생리활성기능 3등급) 2)정자 운동성 개선에 도움을 줄 수 있음(생리활성기능 2등급) 3)갱년기 남성 건강에 도움을 줄 수 있으나 관련 인체적용시험이 미흡
락티카제이바실러스 람노서스 아이디씨씨3201 열처리배양건조물,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있습니다.
우슬 등 복합물,연골 및 관절 건강에 도움을 줄 수 있음.
올리브잎주정추출물 EFLA943,
Lactobacillus acidophilus YT1,갱년기 여성건강에 도움을 줄 수 있음
자몽추출물등 복합물,체지방 감소에 도움
KANEKA Q10,“코엔자임10은 항산화에 도움을 줄 수 있습니다.” (기타Ⅱ등급)
감마리놀렌산 함유 유지,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
EPA 및 DHA 함유 유지,기억력 개선에 도움을 줄 수 있음. (생리활성 기능 2등급)
감마리놀렌산 함유 유지,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
감마리놀렌산 함유 유지,월경 전 변화에 의한 불편한 상태 개선에 도움을 줄 수 있음(생리활성기능 2등급)
복분자추출분말,
구절초추출물,관절 및 연골건강에 도움을 줄 수 있음
천심련추출물,관절 및 연골건강에 도움을 줄 수 있음
저분자콜라겐펩타이드,Ÿ 피부 보습에 도움을 줄 수 있음Ÿ 자외선에 의한 피부손상으로부터 피부건강을 유지하는 데 도움을 줄 수 있음
난각막분말,자외선에 의한 피부손상으로부터 피부건강 유지하는데 도움을 줄 수 있음 / 피부 보습에 도움을 줄 수 있음
EPA 및 DHA 함유 유지,갱년기 여성의 건강에 도움을 줄 수 있음
EPA 및 DHA 함유 유지,건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음(생리활성기능 2등급)
프로바이오틱스 ATP,면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있으나 관련 인체적용시험이 미흡함(생리활성기능 3등급)
EPA 및 DHA 함유 유지,기억력 개선에 도움을 줄 수 있음
수국잎열수추출물,자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
참깨박추출물,인지기능 개선에 도움을 줄 수 있음
열처리녹차추출물,기억력 개선에 도움을 줄 수 있음
크릴오일등복합물,관절건강에 도움을 줄 수 있음
비수리추출분말,갱년기 남성 건강에 도움을 줄 수 있음
Bacillus coagulans SNZ 1969 프로바이오틱스,배변활동 원활에 도움을 줄 수 있음
다이크로스타키스 글로메라타 추출물,체지방 감소에 도움을 줄 수 있음
창녕양파추출액,혈중 콜레스테롤 개선에 도움을 줄 수 있음
미역 등 복합추출물,체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
실크단백질 효소가수분해물,"혈당조절에 도움을 줄 수 있으나, 관련 인체적용시험이 미흡함(생리활성기능 3등급)"
서목태,1) 혈당 조절에 도움을 줄 수 있음(생리활성기능 2등급) 2) 혈압이 높은 사람에게 도움을 줄 수 있음(생리활성기능 2등급) 3) 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
뽕나무가지주정추출분말,혈당조절에 도움을 줄 수 있음(산화스트레스로부터 췌장을 보호하여 인슐린 분비를 조절함으로써 인슐린 감수성을 개선시켜 식후 혈당을 조절하는데 도움)
풋사과추출물 애플페논,체지방 감소에 도움
루바브뿌리추출물,갱년기 여성 건강에 도움을 줄 수 있음
현삼추출물,기억력 개선에 도움을 줄 수 있음.
Lactiplantibacillus plantarum C29 프로바이오틱스와 발효대두분말의 복합물,노화로 저하된 인지능력 개선에 도움을 줄 수 있음
루테인지아잔틴추출복합물,노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을줄 수 있음
발효굴추출물,근력 개선에 도움을 줄 수 있음
로즈마리추출물등복합물,자외선에 의한 피부손상으로부터 피부건강 유지에 도움
청호추출분말,간 건강에 도움을 줄 수 있음
복분자동결건조분말,항산화에 도움을 줄 수 있음.
가다랑어 엘라스틴 펩타이드,피부 보습에 도움을 줄 수 있음
락토페린,면역력 증진에 도움을 줄 수 있음
헤마토코쿠스 추출물,“헤마토코쿠스 추출물의 섭취는 눈의 피로도 개선에 도움을 줄 수 있습니다.”(기타Ⅱ등급)
홍경천 추출물,스트레스로 인한 피로 개선에 도움을 줄 수 있음(기타기능Ⅱ)
창녕양파추출액,혈중 콜레스테롤 개선에 도움을 줄 수 있음 (기타기능 )
